stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
3711,104054,MAIN ST @ 547 S,S MAIN ST,41.026684,-111.930573,,,0,
3726,101088,GENTILE ST @ 399 E    (LAYTON),E GENTILE ST,41.060163,-111.958549,,,0,
3848,101065,FORT LN @ 70 S    (LAYTON),S FORT LN,41.059121,-111.957755,,,0,
3864,102060,MAIN ST @ 50 S      (KAYSVILLE),S MAIN ST,41.034146,-111.938783,,,0,
3896,623265,WASHINGTON BLVD @ 3086 S,S WASHINGTON BLVD,41.208513,-111.970616,,,0,
3906,633103,MAIN ST @ 1799 N     (SUNSET),N MAIN ST,41.139473,-112.026214,,,0,
3910,633107,MAIN ST @ 799 N,N MAIN ST,41.124991,-112.026183,,,0,
3915,633112,13TH ST @ 801 S,S 13TH ST,41.102281,-112.029099,,,0,
3916,633113,13TH ST @ 1601 S,S 13TH ST,41.090542,-112.018991,,,0,
3917,633114,13TH ST @ 1600 S,S 13TH ST,41.090301,-112.018488,,,0,
3921,633118,13TH ST @ 800 S,S 13TH ST,41.102237,-112.028814,,,0,
